Gender,Age,CreditScore,MonthlyIncome,Country,RFM_Score,Clusters,CustomerID,FullName
1,57,780,7591,2,3.68,"Average Income, High Spending Score",1001,Brittany Franklin
0,69,746,3912,2,3.83,"Lower Income, Low Spending Score",1002,Scott Stewart
0,21,772,7460,7,1.24,"High Income, Low Spending Score",1003,Elizabeth Fowler
0,67,631,4765,7,3.61,"High Income, High Spending Score",1004,Julian Wall
1,57,630,3268,2,1.24,"Lower Income, Low Spending Score",1005,James Simmons
0,36,660,5350,3,4.51,"Average Income, High Spending Score",1006,Annette Atkins
0,47,606,3972,7,1.24,"High Income, High Spending Score",1007,Martha Smith
0,45,627,7455,3,3.66,"High Income, High Spending Score",1008,Kristina Ramirez
1,59,609,3003,6,1.24,"Lower Income, Low Spending Score",1009,Justin Hardin
1,60,634,6753,8,3.82,"High Income, High Spending Score",1011,Zachary Roberts
1,57,700,4148,2,1.24,"Lower Income, Low Spending Score",1012,Matthew Snyder
0,46,659,4287,5,3.85,"High Income, High Spending Score",1013,Jean Richardson
1,18,629,4800,0,4.89,"Average Income, High Spending Score",1014,Karen Austin
0,22,735,4469,2,1.24,"High Income, Low Spending Score",1015,Jacob Taylor
0,55,722,6449,2,1.24,"High Income, Low Spending Score",1017,Michael Camacho
0,69,767,6956,3,1.24,"High Income, Low Spending Score",1018,Daniel Gordon
1,22,759,3895,4,1.24,"High Income, Low Spending Score",1019,Jeffrey Burns
1,36,709,4801,8,1.24,"High Income, Low Spending Score",1020,Sarah Roman
1,48,741,7507,4,3.83,"Average Income, High Spending Score",1021,Molly Villa
1,64,625,7056,8,3.7,"High Income, High Spending Score",1023,Gregory Reyes
1,22,681,5478,2,1.24,"Average Income, High Spending Score",1024,Andrea Faulkner
0,69,640,3757,5,4.58,"High Income, High Spending Score",1025,Jessica Stewart
1,71,714,5622,2,4.73,"Average Income, High Spending Score",1027,Tonya Phillips
0,31,686,7190,7,1.24,"High Income, Low Spending Score",1028,Tina Atkins
0,22,778,4562,8,1.24,"High Income, Low Spending Score",1029,Sean Murphy
0,39,695,7413,7,3.55,"High Income, High Spending Score",1030,Desiree Figueroa
1,20,759,5850,2,3.69,"Average Income, High Spending Score",1031,Traci Oneill
0,66,737,7470,1,4.74,"High Income, High Spending Score",1032,Steven Johnson
1,48,656,7164,1,1.25,"Lower Income, Low Spending Score",1033,Deborah Contreras
1,64,718,3086,6,1.25,"Lower Income, Low Spending Score",1034,Jonathan Smith
0,40,727,6789,6,4.72,"High Income, High Spending Score",1035,Jason Powell
1,69,728,7626,5,3.85,"High Income, High Spending Score",1037,James Austin
0,60,742,4969,1,3.81,"High Income, High Spending Score",1038,Joseph Frye
1,70,645,5642,6,3.58,"High Income, High Spending Score",1039,John Anderson
1,35,619,6399,7,1.25,"High Income, Low Spending Score",1040,Cynthia Thomas
0,52,638,7623,3,3.53,"High Income, High Spending Score",1041,Mary Morris
0,46,673,4085,6,1.25,"High Income, Low Spending Score",1042,Jessica Gross
1,27,722,3368,2,1.25,"Lower Income, Low Spending Score",1043,James Best
1,65,653,3611,3,1.25,"Lower Income, Low Spending Score",1044,Kyle Hill
0,60,718,6745,3,3.59,"High Income, High Spending Score",1045,Tami Alexander
0,23,705,3112,6,1.25,"High Income, Low Spending Score",1046,Justin Jackson
0,46,648,3612,2,3.77,"Lower Income, Low Spending Score",1047,Monica Oneill
1,40,701,7364,5,1.25,"High Income, Low Spending Score",1048,Jonathan Mills
0,63,624,7870,0,3.84,"High Income, High Spending Score",1050,Cynthia Roberts
1,49,773,7570,3,3.82,"Average Income, High Spending Score",1051,Roy Dominguez
1,38,772,3838,1,1.25,"Lower Income, Low Spending Score",1052,Anthony Petty
1,25,739,3085,0,4.94,"Average Income, High Spending Score",1054,Logan Green
1,50,775,4163,0,1.25,"Lower Income, Low Spending Score",1055,Melissa Gutierrez
1,58,602,4709,7,1.25,"Lower Income, Low Spending Score",1056,Danielle Hamilton
1,54,604,6666,4,1.25,"High Income, High Spending Score",1058,Melissa Perry
1,33,760,6188,2,4.61,"Average Income, High Spending Score",1059,Madison Wong
0,27,747,3489,4,3.72,"Average Income, High Spending Score",1060,Laura Bowman
1,67,633,7045,1,3.54,"High Income, High Spending Score",1061,Harold Perez
0,68,698,3498,6,1.25,"Lower Income, Low Spending Score",1062,Karen Torres
1,34,624,5988,0,1.25,"Lower Income, Low Spending Score",1063,James Coleman
0,49,607,7068,0,1.63,"High Income, High Spending Score",1064,Kim Dawson
0,48,630,3042,5,1.25,"Lower Income, Low Spending Score",1065,Amy Lucas
0,47,630,6615,5,1.26,"High Income, High Spending Score",1066,Samantha Brooks
0,34,699,3843,2,3.81,"Average Income, High Spending Score",1068,Julie Baldwin
1,62,754,5940,3,1.26,"Lower Income, Low Spending Score",1069,Seth Shelton
0,22,755,6060,3,1.26,"High Income, Low Spending Score",1070,Tyler Villarreal
0,66,715,7348,5,3.63,"High Income, High Spending Score",1071,Julie Morgan
0,61,607,6496,3,4.58,"High Income, High Spending Score",1072,Wayne Reid
1,23,651,5262,4,1.26,"Lower Income, Low Spending Score",1073,Kathryn Brown
1,65,760,4541,3,1.26,"Lower Income, Low Spending Score",1074,Crystal Jones
1,72,602,5576,1,1.26,"Lower Income, Low Spending Score",1075,Taylor Patterson
0,28,747,6895,7,1.26,"High Income, Low Spending Score",1076,Tanya Bell
1,51,624,3630,3,1.26,"Lower Income, Low Spending Score",1077,Kelly Clark
0,55,688,6813,0,3.71,"High Income, High Spending Score",1078,Tanya Barnes
0,69,719,5643,6,3.56,"High Income, High Spending Score",1079,Michael Graham
0,42,672,7359,1,1.26,"High Income, High Spending Score",1080,Julia Hunter
0,44,639,6112,8,3.68,"High Income, High Spending Score",1081,Antonio Lopez
1,30,670,7297,7,1.26,"High Income, Low Spending Score",1082,Jeanette Douglas
0,58,656,4441,3,3.82,"High Income, High Spending Score",1083,Kelly Lopez
0,47,625,6592,6,3.83,"High Income, High Spending Score",1084,Jennifer Conway
0,72,681,4233,8,1.26,"High Income, Low Spending Score",1085,Leon Cline
0,19,753,4691,3,1.84,"High Income, Low Spending Score",1086,Nicholas Johnston
0,70,744,6770,4,1.26,"High Income, Low Spending Score",1087,Michael Ibarra
1,66,698,5234,0,1.26,"Lower Income, Low Spending Score",1088,Jose Smith
0,48,634,6496,2,3.8,"High Income, High Spending Score",1089,Anthony Orr
1,37,677,6276,8,1.26,"High Income, Low Spending Score",1090,Melissa Wilson
0,51,610,7073,3,1.26,"High Income, High Spending Score",1092,Hannah Flynn
0,66,780,4310,3,3.64,"High Income, Low Spending Score",1093,Lori Miller
0,19,768,5673,4,1.27,"High Income, Low Spending Score",1094,Seth Edwards
1,30,646,5498,2,3.6,"Average Income, High Spending Score",1095,Christopher Johnson
0,26,761,5394,8,1.27,"High Income, Low Spending Score",1096,Tyrone Combs
0,35,704,4519,4,3.66,"Average Income, High Spending Score",1099,David Petty
1,27,655,5157,8,1.85,"High Income, Low Spending Score",1100,Brett Lopez
0,25,707,5949,7,3.79,"High Income, Low Spending Score",1101,Karen Stone
1,33,677,5535,3,3.71,"Average Income, High Spending Score",1102,Daniel Johnson
1,59,625,3683,2,1.27,"Lower Income, Low Spending Score",1103,Jeremy Buchanan
1,35,708,6598,0,1.27,"Average Income, High Spending Score",1104,Kathryn Moss
1,45,675,3154,3,1.27,"Lower Income, Low Spending Score",1105,Ashley Bradley
1,48,739,6226,1,3.8,"Average Income, High Spending Score",1106,Heather Willis
0,66,665,7422,2,1.27,"High Income, High Spending Score",1107,Danielle Randall
1,68,667,7542,0,3.67,"High Income, High Spending Score",1108,Yesenia Taylor
1,30,619,3756,1,1.27,"Lower Income, Low Spending Score",1109,Megan Wilson
0,62,642,4230,0,3.69,"High Income, High Spending Score",1110,Mason Moreno
1,44,763,3099,6,1.27,"High Income, Low Spending Score",1111,Pamela Johnson
0,50,778,7302,0,1.27,"High Income, Low Spending Score",1112,Kathleen Harvey
1,37,760,4529,5,1.27,"High Income, Low Spending Score",1113,Brianna Meyers
1,49,747,6854,1,4.67,"Average Income, High Spending Score",1114,Nicolas Evans
1,48,655,3151,7,1.27,"Lower Income, Low Spending Score",1115,Stuart Hester
0,72,774,6423,4,3.56,"High Income, High Spending Score",1116,Charles Graves
1,51,603,4959,8,1.27,"Lower Income, Low Spending Score",1117,Christie Thompson
0,40,682,3290,0,1.27,"Lower Income, Low Spending Score",1118,Steven Zuniga
0,40,672,5656,7,1.27,"High Income, Low Spending Score",1119,Brooke Hunter
1,23,682,7393,8,1.27,"High Income, Low Spending Score",1120,Brittney Jones
0,37,686,7137,8,3.82,"High Income, High Spending Score",1121,Lauren Mclaughlin
1,40,640,3458,8,4.5,"Average Income, High Spending Score",1122,Colin Wilkins
0,38,622,5505,4,1.28,"High Income, High Spending Score",1123,Rebecca Maxwell
