CustomerID,FullName,Gender,Age,CreditScore,MonthlyIncome,Country,OrderConfirmationTime,Recency,Frequency,Monetary Value,R_rank_norm,F_rank_norm,M_rank_norm,RFM_Score,Customer Segment
1001,Brittany Franklin,Male,57,780,7591,China,2022-12-23 18:32:00,372,2,272,72.3,74.05,73.62,3.68,Medium Value customer
1002,Scott Stewart,Female,69,746,3912,China,2023-09-27 22:02:00,94,2,1080,92.75,74.05,73.62,3.83,Medium Value customer
1003,Elizabeth Fowler,Female,21,772,7460,UK,2019-01-04 03:40:00,1822,1,40,0.09,29.18,29.01,1.24,Lost Customer
1004,Julian Wall,Female,67,631,4765,UK,2022-07-27 13:03:00,521,2,2040,63.15,74.05,73.62,3.61,Medium Value customer
1005,James Simmons,Male,57,630,3268,China,2019-01-05 13:52:00,1820,1,600,0.18,29.18,29.01,1.24,Lost Customer
1006,Annette Atkins,Female,36,660,5350,India,2022-10-20 04:11:00,437,3,249,68.09,94.57,94.02,4.51,Top Customer
1007,Martha Smith,Female,47,606,3972,UK,2019-01-08 23:20:00,1817,1,500,0.27,29.18,29.01,1.24,Lost Customer
1008,Kristina Ramirez,Female,45,627,7455,India,2022-11-13 22:55:00,412,2,1605,69.72,74.05,73.62,3.66,Medium Value customer
1009,Justin Hardin,Male,59,609,3003,Spain,2019-01-09 16:58:00,1816,1,80,0.36,29.18,29.01,1.24,Lost Customer
1011,Zachary Roberts,Male,60,634,6753,USA,2023-09-03 21:03:00,118,2,170,91.02,74.05,73.62,3.82,Medium Value customer
1012,Matthew Snyder,Male,57,700,4148,China,2019-01-15 02:46:00,1811,1,54,0.45,29.18,29.01,1.24,Lost Customer
1013,Jean Richardson,Female,46,659,4287,Japan,2023-10-24 15:39:00,67,2,300,95.29,74.05,73.62,3.85,Medium Value customer
1014,Karen Austin,Male,18,629,4800,Australia,2023-07-21 00:30:00,163,4,1120,87.17,100.0,99.41,4.89,Top Customer
1015,Jacob Taylor,Female,22,735,4469,China,2019-01-18 14:00:00,1807,1,70,0.54,29.18,29.01,1.24,Lost Customer
1017,Michael Camacho,Female,55,722,6449,China,2019-01-20 02:51:00,1806,1,1600,0.63,29.18,29.01,1.24,Lost Customer
1018,Daniel Gordon,Female,69,767,6956,India,2019-01-21 16:51:00,1804,1,72,0.73,29.18,29.01,1.24,Lost Customer
1019,Jeffrey Burns,Male,22,759,3895,Italy,2019-01-22 21:26:00,1803,1,480,0.82,29.18,29.01,1.24,Lost Customer
1020,Sarah Roman,Male,36,709,4801,USA,2019-01-23 17:26:00,1802,1,100,0.91,29.18,29.01,1.24,Lost Customer
1021,Molly Villa,Male,48,741,7507,Italy,2023-10-01 22:01:00,90,2,1725,93.02,74.05,73.62,3.83,Medium Value customer
1023,Gregory Reyes,Male,64,625,7056,USA,2023-02-17 09:41:00,316,2,190,75.88,74.05,73.62,3.7,Medium Value customer
1024,Andrea Faulkner,Male,22,681,5478,China,2019-01-29 01:56:00,1797,1,500,1.0,29.18,29.01,1.24,Lost Customer
1025,Jessica Stewart,Female,69,640,3757,Japan,2023-03-11 03:33:00,295,3,165,76.79,94.57,94.02,4.58,Top Customer
1027,Tonya Phillips,Male,71,714,5622,China,2023-11-13 04:00:00,48,3,1990,96.42,94.57,94.02,4.73,Top Customer
1028,Tina Atkins,Female,31,686,7190,UK,2019-02-04 12:26:00,1790,1,4800,1.13,29.18,29.01,1.24,Lost Customer
1029,Sean Murphy,Female,22,778,4562,USA,2019-02-05 06:27:00,1790,1,180,1.13,29.18,29.01,1.24,Lost Customer
1030,Desiree Figueroa,Female,39,695,7413,UK,2022-03-01 02:50:00,670,2,395,55.21,74.05,73.62,3.55,Medium Value customer
1031,Traci Oneill,Male,20,759,5850,China,2023-01-25 10:50:00,339,2,325,74.66,74.05,73.62,3.69,Medium Value customer
1032,Steven Johnson,Female,66,737,7470,Canada,2023-12-08 15:31:00,22,3,6190,98.19,94.57,94.02,4.74,Top Customer
1033,Deborah Contreras,Male,48,656,7164,Canada,2019-02-07 11:25:00,1787,1,140,1.31,29.18,29.01,1.25,Lost Customer
1034,Jonathan Smith,Male,64,718,3086,Spain,2019-02-07 15:35:00,1787,1,270,1.31,29.18,29.01,1.25,Lost Customer
1035,Jason Powell,Female,40,727,6789,Spain,2023-11-09 17:24:00,51,3,4435,96.15,94.57,94.02,4.72,Top Customer
1037,James Austin,Male,69,728,7626,Japan,2023-10-18 10:55:00,73,2,2540,94.79,74.05,73.62,3.85,Medium Value customer
1038,Joseph Frye,Female,60,742,4969,Canada,2023-08-23 02:06:00,130,2,175,89.76,74.05,73.62,3.81,Medium Value customer
1039,John Anderson,Male,70,645,5642,Spain,2022-05-28 08:52:00,581,2,180,59.25,74.05,73.62,3.58,Medium Value customer
1040,Cynthia Thomas,Male,35,619,6399,UK,2019-02-13 12:16:00,1781,1,100,1.45,29.18,29.01,1.25,Lost Customer
1041,Mary Morris,Female,52,638,7623,India,2022-01-02 18:25:00,727,2,102,53.17,74.05,73.62,3.53,Medium Value customer
1042,Jessica Gross,Female,46,673,4085,Spain,2019-02-16 14:39:00,1778,1,360,1.59,29.18,29.01,1.25,Lost Customer
1043,James Best,Male,27,722,3368,China,2019-02-16 20:49:00,1778,1,2400,1.59,29.18,29.01,1.25,Lost Customer
1044,Kyle Hill,Male,65,653,3611,India,2019-02-19 02:12:00,1776,1,40,1.72,29.18,29.01,1.25,Lost Customer
1045,Tami Alexander,Female,60,718,6745,India,2022-06-20 23:12:00,558,2,255,60.61,74.05,73.62,3.59,Medium Value customer
1046,Justin Jackson,Female,23,705,3112,Spain,2019-02-22 01:36:00,1773,1,9000,1.81,29.18,29.01,1.25,Lost Customer
1047,Monica Oneill,Female,46,648,3612,China,2023-06-26 16:12:00,187,2,70,84.95,74.05,73.62,3.77,Medium Value customer
1048,Jonathan Mills,Male,40,701,7364,Japan,2019-02-22 14:47:00,1772,1,280,1.9,29.18,29.01,1.25,Lost Customer
1050,Cynthia Roberts,Female,63,624,7870,Australia,2023-10-14 14:45:00,77,2,360,94.11,74.05,73.62,3.84,Medium Value customer
1051,Roy Dominguez,Male,49,773,7570,India,2023-09-14 16:17:00,107,2,2550,91.8,74.05,73.62,3.82,Medium Value customer
1052,Anthony Petty,Male,38,772,3838,Canada,2019-02-26 01:38:00,1769,1,100,1.99,29.18,29.01,1.25,Lost Customer
1054,Logan Green,Male,25,739,3085,Australia,2023-10-10 13:35:00,81,4,555,93.83,100.0,99.41,4.94,Top Customer
1055,Melissa Gutierrez,Male,50,775,4163,Australia,2019-02-28 02:12:00,1767,1,2400,2.09,29.18,29.01,1.25,Lost Customer
1056,Danielle Hamilton,Male,58,602,4709,UK,2019-03-02 21:37:00,1764,1,100,2.18,29.18,29.01,1.25,Lost Customer
1058,Melissa Perry,Male,54,604,6666,Italy,2019-03-03 15:42:00,1763,1,75,2.27,29.18,29.01,1.25,Lost Customer
1059,Madison Wong,Male,33,760,6188,China,2023-05-06 11:32:00,238,3,548,80.87,94.57,94.02,4.61,Top Customer
1060,Laura Bowman,Female,27,747,3489,Italy,2023-03-24 09:05:00,281,2,3070,78.15,74.05,73.62,3.72,Medium Value customer
1061,Harold Perez,Male,67,633,7045,Canada,2022-01-25 20:22:00,704,2,7200,54.03,74.05,73.62,3.54,Medium Value customer
1062,Karen Torres,Female,68,698,3498,Spain,2019-03-06 09:20:00,1760,1,40,2.36,29.18,29.01,1.25,Lost Customer
1063,James Coleman,Male,34,624,5988,Australia,2019-03-09 00:03:00,1758,1,140,2.45,29.18,29.01,1.25,Lost Customer
1064,Kim Dawson,Female,49,607,7068,Australia,2022-01-03 08:20:00,727,1,80,53.17,29.18,29.01,1.63,Low Value customer
1065,Amy Lucas,Female,48,630,3042,Japan,2019-03-10 23:48:00,1756,1,140,2.54,29.18,29.01,1.25,Lost Customer
1066,Samantha Brooks,Female,47,630,6615,Japan,2019-03-12 17:47:00,1754,1,400,2.63,29.18,29.01,1.26,Lost Customer
1068,Julie Baldwin,Female,34,699,3843,China,2023-08-21 16:33:00,131,2,2416,89.66,74.05,73.62,3.81,Medium Value customer
1069,Seth Shelton,Male,62,754,5940,India,2019-03-14 15:14:00,1752,1,108,2.72,29.18,29.01,1.26,Lost Customer
1070,Tyler Villarreal,Female,22,755,6060,India,2019-03-15 14:16:00,1751,1,210,2.81,29.18,29.01,1.26,Lost Customer
1071,Julie Morgan,Female,66,715,7348,Japan,2022-09-19 21:04:00,467,2,1700,65.91,74.05,73.62,3.63,Medium Value customer
1072,Wayne Reid,Female,61,607,6496,India,2023-03-05 22:18:00,300,3,1890,76.61,94.57,94.02,4.58,Top Customer
1073,Kathryn Brown,Male,23,651,5262,Italy,2019-03-20 20:34:00,1746,1,2500,2.99,29.18,29.01,1.26,Lost Customer
1074,Crystal Jones,Male,65,760,4541,India,2019-03-20 22:19:00,1746,1,70,2.99,29.18,29.01,1.26,Lost Customer
1075,Taylor Patterson,Male,72,602,5576,Canada,2019-03-21 03:05:00,1746,1,60,2.99,29.18,29.01,1.26,Lost Customer
1076,Tanya Bell,Female,28,747,6895,UK,2019-03-21 13:03:00,1745,1,35,3.26,29.18,29.01,1.26,Lost Customer
1077,Kelly Clark,Male,51,624,3630,India,2019-03-21 12:56:00,1745,1,8,3.26,29.18,29.01,1.26,Lost Customer
1078,Tanya Barnes,Female,55,688,6813,Australia,2023-02-23 09:15:00,310,2,228,76.2,74.05,73.62,3.71,Medium Value customer
1079,Michael Graham,Female,69,719,5643,Spain,2022-04-08 21:48:00,631,2,9400,56.57,74.05,73.62,3.56,Medium Value customer
1080,Julia Hunter,Female,42,672,7359,Canada,2019-03-22 05:59:00,1745,1,25,3.26,29.18,29.01,1.26,Lost Customer
1081,Antonio Lopez,Female,44,639,6112,USA,2022-12-21 06:30:00,375,2,6100,72.17,74.05,73.62,3.68,Medium Value customer
1082,Jeanette Douglas,Male,30,670,7297,UK,2019-03-24 06:27:00,1743,1,7200,3.45,29.18,29.01,1.26,Lost Customer
1083,Kelly Lopez,Female,58,656,4441,India,2023-09-05 23:48:00,116,2,2400,91.25,74.05,73.62,3.82,Medium Value customer
1084,Jennifer Conway,Female,47,625,6592,Spain,2023-10-05 06:03:00,87,2,3072,93.25,74.05,73.62,3.83,Medium Value customer
1085,Leon Cline,Female,72,681,4233,USA,2019-03-27 08:33:00,1739,1,50,3.54,29.18,29.01,1.26,Lost Customer
1086,Nicholas Johnston,Female,19,753,4691,India,2023-05-10 19:57:00,234,1,150,81.19,29.18,29.01,1.84,Low Value customer
1087,Michael Ibarra,Female,70,744,6770,Italy,2019-03-28 18:45:00,1738,1,150,3.63,29.18,29.01,1.26,Lost Customer
1088,Jose Smith,Male,66,698,5234,Australia,2019-03-29 16:18:00,1737,1,100,3.72,29.18,29.01,1.26,Lost Customer
1089,Anthony Orr,Female,48,634,6496,China,2023-08-08 14:49:00,144,2,480,88.53,74.05,73.62,3.8,Medium Value customer
1090,Melissa Wilson,Male,37,677,6276,USA,2019-03-30 20:12:00,1736,1,90,3.81,29.18,29.01,1.26,Lost Customer
1092,Hannah Flynn,Female,51,610,7073,India,2019-04-01 00:57:00,1735,1,150,3.9,29.18,29.01,1.26,Lost Customer
1093,Lori Miller,Female,66,780,4310,India,2022-10-09 02:19:00,448,2,310,67.72,74.05,73.62,3.64,Medium Value customer
1094,Seth Edwards,Female,19,768,5673,Italy,2019-04-01 23:13:00,1734,1,40,3.99,29.18,29.01,1.27,Lost Customer
1095,Christopher Johnson,Male,30,646,5498,China,2022-07-01 14:24:00,547,2,495,61.38,74.05,73.62,3.6,Medium Value customer
1096,Tyrone Combs,Female,26,761,5394,USA,2019-04-03 06:53:00,1733,1,800,4.08,29.18,29.01,1.27,Lost Customer
1099,David Petty,Female,35,704,4519,Italy,2022-11-28 21:56:00,397,2,410,70.35,74.05,73.62,3.66,Medium Value customer
1100,Brett Lopez,Male,27,655,5157,USA,2023-05-17 22:36:00,227,1,300,81.82,29.18,29.01,1.85,Low Value customer
1101,Karen Stone,Female,25,707,5949,UK,2023-07-18 23:45:00,165,2,52,86.9,74.05,73.62,3.79,Medium Value customer
1102,Daniel Johnson,Male,33,677,5535,India,2023-03-13 20:31:00,292,2,445,77.06,74.05,73.62,3.71,Medium Value customer
1103,Jeremy Buchanan,Male,59,625,3683,China,2019-04-09 23:53:00,1726,1,75,4.17,29.18,29.01,1.27,Lost Customer
1104,Kathryn Moss,Male,35,708,6598,Australia,2019-04-11 03:07:00,1725,1,500,4.26,29.18,29.01,1.27,Lost Customer
1105,Ashley Bradley,Male,45,675,3154,India,2019-04-13 11:27:00,1722,1,48,4.4,29.18,29.01,1.27,Lost Customer
1106,Heather Willis,Male,48,739,6226,Canada,2023-08-06 07:13:00,147,2,310,88.21,74.05,73.62,3.8,Medium Value customer
1107,Danielle Randall,Female,66,665,7422,China,2019-04-14 06:35:00,1722,1,4500,4.4,29.18,29.01,1.27,Lost Customer
1108,Yesenia Taylor,Male,68,667,7542,Australia,2022-12-18 09:43:00,377,2,548,71.99,74.05,73.62,3.67,Medium Value customer
1109,Megan Wilson,Male,30,619,3756,Canada,2019-04-15 18:38:00,1720,1,15,4.53,29.18,29.01,1.27,Lost Customer
1110,Mason Moreno,Female,62,642,4230,Australia,2023-01-07 05:19:00,358,2,255,73.66,74.05,73.62,3.69,Medium Value customer
1111,Pamela Johnson,Male,44,763,3099,Spain,2019-04-16 09:16:00,1719,1,600,4.71,29.18,29.01,1.27,Lost Customer
1112,Kathleen Harvey,Female,50,778,7302,Australia,2019-04-16 14:59:00,1719,1,400,4.71,29.18,29.01,1.27,Lost Customer
1113,Brianna Meyers,Male,37,760,4529,Japan,2019-04-17 06:30:00,1719,1,240,4.71,29.18,29.01,1.27,Lost Customer
1114,Nicolas Evans,Male,49,747,6854,Canada,2023-08-16 03:52:00,137,3,7555,89.21,94.57,94.02,4.67,Top Customer
1115,Stuart Hester,Male,48,655,3151,UK,2019-04-17 18:00:00,1718,1,50,4.94,29.18,29.01,1.27,Lost Customer
1116,Charles Graves,Female,72,774,6423,Italy,2022-04-12 14:23:00,627,2,2015,56.75,74.05,73.62,3.56,Medium Value customer
1117,Christie Thompson,Male,51,603,4959,USA,2019-04-18 00:23:00,1718,1,150,4.94,29.18,29.01,1.27,Lost Customer
1118,Steven Zuniga,Female,40,682,3290,Australia,2019-04-19 11:55:00,1716,1,150,5.08,29.18,29.01,1.27,Lost Customer
1119,Brooke Hunter,Female,40,672,5656,UK,2019-04-21 11:46:00,1714,1,90,5.17,29.18,29.01,1.27,Lost Customer
1120,Brittney Jones,Male,23,682,7393,USA,2019-04-24 00:25:00,1712,1,160,5.26,29.18,29.01,1.27,Lost Customer
1121,Lauren Mclaughlin,Female,37,686,7137,USA,2023-09-09 04:35:00,113,2,9140,91.43,74.05,73.62,3.82,Medium Value customer
1122,Colin Wilkins,Male,40,640,3458,USA,2022-09-27 17:26:00,459,3,372,66.55,94.57,94.02,4.5,Top Customer
1123,Rebecca Maxwell,Female,38,622,5505,Italy,2019-04-27 01:59:00,1709,1,75,5.39,29.18,29.01,1.28,Lost Customer
1124,Robert Jones,Female,46,712,6632,Japan,2019-04-27 04:58:00,1709,1,1200,5.39,29.18,29.01,1.28,Lost Customer
1125,David Mathews,Male,33,774,3331,Australia,2023-11-06 14:48:00,54,2,4815,95.83,74.05,73.62,3.85,Medium Value customer
1126,Patricia Carrillo,Female,66,697,7996,Canada,2019-04-29 11:18:00,1706,1,60,5.53,29.18,29.01,1.28,Lost Customer
1127,Manuel Mills,Male,25,715,7772,USA,2022-05-03 09:27:00,606,1,4800,57.93,29.18,29.01,1.67,Low Value customer
1128,Carol Curry,Male,44,759,4749,Italy,2022-07-02 18:33:00,546,2,265,61.56,74.05,73.62,3.6,Medium Value customer
1129,Suzanne Burnett,Male,63,711,4516,China,2022-08-09 10:11:00,508,2,258,63.64,74.05,73.62,3.61,Medium Value customer
1130,Kathryn Flores,Male,43,769,3814,India,2019-05-01 18:37:00,1704,1,7500,5.62,29.18,29.01,1.28,Lost Customer
1131,Cassandra Mccormick,Female,18,727,5345,Canada,2019-05-07 12:31:00,1698,1,480,5.71,29.18,29.01,1.28,Lost Customer
1132,Aaron Reynolds,Female,69,624,5719,Australia,2022-05-21 03:37:00,589,3,2670,58.75,94.57,94.02,4.44,High Value Customer
1133,Richard Hahn,Female,68,733,4210,Canada,2019-05-08 20:00:00,1697,1,175,5.8,29.18,29.01,1.28,Lost Customer
1134,Alejandra Weaver,Female,38,649,7358,Spain,2023-04-04 01:09:00,271,1,240,78.69,29.18,29.01,1.83,Low Value customer
1135,Brandy Russell,Male,18,775,6613,Spain,2023-01-19 12:29:00,345,1,25,74.16,29.18,29.01,1.79,Low Value customer
1136,David Cook,Male,39,727,4079,Italy,2023-10-12 06:10:00,80,2,580,93.97,74.05,73.62,3.84,Medium Value customer
1137,Yesenia Roberts,Male,36,758,6694,Canada,2022-07-26 03:16:00,523,2,1590,62.87,74.05,73.62,3.61,Medium Value customer
1138,Dorothy Hutchinson,Male,70,690,7662,Japan,2019-05-13 21:23:00,1692,1,120,5.94,29.18,29.01,1.28,Lost Customer
1139,Audrey Harris,Female,37,621,5935,Japan,2019-05-14 05:01:00,1692,1,100,5.94,29.18,29.01,1.28,Lost Customer
1140,Samantha Greene,Female,22,606,7461,Spain,2019-05-17 17:37:00,1688,1,150,6.12,29.18,29.01,1.28,Lost Customer
1141,Stephen Smith,Male,61,660,5598,Australia,2019-05-17 18:09:00,1688,1,15,6.12,29.18,29.01,1.28,Lost Customer
1142,Beth Brown,Male,65,620,4842,UK,2022-10-22 20:40:00,434,2,102,68.4,74.05,73.62,3.65,Medium Value customer
1143,Curtis Powell,Male,45,710,4729,Australia,2022-01-27 18:31:00,702,2,460,54.22,74.05,73.62,3.54,Medium Value customer
1144,Alexander Lara,Male,20,643,7415,UK,2019-05-22 06:12:00,1684,1,240,6.26,29.18,29.01,1.28,Lost Customer
1145,Christopher Robles,Male,58,747,4312,India,2019-05-22 23:28:00,1683,1,80,6.39,29.18,29.01,1.28,Lost Customer
1146,Joseph Thomas,Female,19,738,4850,China,2019-05-23 01:09:00,1683,1,300,6.39,29.18,29.01,1.28,Lost Customer
1147,Casey Carlson,Female,27,672,5140,Japan,2023-04-29 07:43:00,246,2,320,79.96,74.05,73.62,3.73,Medium Value customer
1148,Phillip Hoover,Female,45,620,3088,India,2019-05-25 08:32:00,1680,1,160,6.53,29.18,29.01,1.28,Lost Customer
1149,Ryan Ballard,Male,26,769,6943,Italy,2022-09-04 04:25:00,483,2,9150,65.19,74.05,73.62,3.62,Medium Value customer
1150,Scott Hull,Female,21,610,3478,USA,2022-04-17 21:55:00,622,2,2400,57.07,74.05,73.62,3.56,Medium Value customer
1151,Steve Wallace,Male,68,643,5657,Japan,2019-05-30 20:17:00,1675,1,250,6.66,29.18,29.01,1.29,Lost Customer
1153,Jason Becker,Female,25,762,4228,USA,2019-05-31 04:25:00,1675,1,32,6.66,29.18,29.01,1.29,Lost Customer
1154,Theresa Hardy,Female,72,615,3351,China,2019-05-31 22:40:00,1674,1,6000,6.8,29.18,29.01,1.29,Lost Customer
1155,John Wright,Male,24,630,7703,Australia,2019-06-02 13:37:00,1672,1,180,6.94,29.18,29.01,1.29,Lost Customer
1156,Michelle Holland,Male,38,724,4368,Australia,2019-06-02 19:31:00,1672,1,360,6.94,29.18,29.01,1.29,Lost Customer
1159,Carol Kim,Female,54,604,3374,Spain,2019-06-05 13:04:00,1669,1,54,7.07,29.18,29.01,1.29,Lost Customer
1160,Kathy Sutton,Female,53,654,3618,UK,2022-07-08 22:29:00,540,2,160,62.01,74.05,73.62,3.6,Medium Value customer
1161,Katherine Curtis,Female,65,765,6708,Canada,2019-06-08 10:39:00,1666,1,7200,7.16,29.18,29.01,1.29,Lost Customer
1162,Joshua Singh,Male,67,664,3084,India,2023-03-11 21:23:00,294,2,540,76.93,74.05,73.62,3.71,Medium Value customer
1163,Carlos Ali,Female,64,758,7763,India,2022-04-24 13:44:00,615,2,435,57.43,74.05,73.62,3.57,Medium Value customer
1164,Jason Cross,Female,25,691,7777,Australia,2019-06-09 19:22:00,1665,1,2000,7.25,29.18,29.01,1.29,Lost Customer
1165,Kenneth Moody,Female,28,746,6410,Spain,2023-05-09 09:36:00,235,3,229,81.05,94.57,94.02,4.61,Top Customer
1166,Dawn Cordova,Female,55,738,6988,Italy,2023-06-22 07:43:00,192,2,425,84.77,74.05,73.62,3.77,Medium Value customer
1167,Monique Ryan,Male,32,771,5124,Australia,2019-06-12 14:02:00,1662,1,400,7.34,29.18,29.01,1.29,Lost Customer
1168,Brandon Shaw,Male,42,727,5335,China,2023-02-11 01:39:00,323,2,6075,75.52,74.05,73.62,3.7,Medium Value customer
